Student ID;"ES 1.1 
(2 points)";"ES 1.2 
(3 points)";"ES 2.1
(2 points)";"ES 2.2
(3 points)";"ES 3.1
(1 points)";"ES 3.2
(2 points)";"ES 3.3
(2 points)";"ES 3.4
(2 points)";"ES 3.5
(3 points)";"ES 4.1
(15 points)";"ES 4.2
(10 points)";"ES 5.1
(2 points)";"ES 5.2
(10 points)";"ES 5.3
(3 points)";"ES 6.1
(25 points)";"ES 6.2
(15 points)";
1;2,00;3,00;1,00;0,50;1,00;2,00;2,00;2,00;3,00;15,00;10,00;2,00;10,00;3,00;25,00;13,00;
2;2,00;3,00;2,00;0,50;1,00;2,00;0,00;2,00;3,00;15,00;2,00;0,00;5,00;1,50;5,00;0,00;
3;2,0;3,0;1,0;2,0;1,0;2,0;2,0;2,0;3,0;15,0;10,0;1,0;5,0;3,0;18,0;15,0;
4;2,00;3,00;1,00;0,50;1,00;2,00;0,00;2,00;0,00;3,00;4,00;0,00;1,50;0,00;5,00;5,00;
5;2,00;3,00;2,00;1,50;1,00;2,00;2,00;2,00;3,00;3,00;2,00;1,50;9,00;1,50;2,00;1,00;
6;2,0;3,0;2,0;3,0;1,0;2,0;2,0;0,0;3,0;15,0;7,0;2,0;9,0;3,0;13,0;15,0;
7;2,00;3,00;1,00;1,50;1,00;2,00;2,00;2,00;3,00;15,00;10,00;1,00;2,50;0,00;20,00;12,00;
8;0,50;3,00;0,00;0,00;1,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
9;2,00;3,00;1,00;0,50;1,00;2,00;2,00;2,00;3,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;
10;2,0;3,0;2,0;1,5;1,0;2,0;0,0;2,0;3,0;11,0;1,0;2,0;10,0;1,5;7,0;10,0;
11;2,00;3,00;1,00;0,50;1,00;2,00;2,00;2,00;3,00;12,00;3,00;2,00;8,00;1,50;12,00;5,00;
